ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Avec enfant,Distance en descente,Nombre total de séries,Nombre total de répétitions,Support
19523635991,"29 juil. 2026, 22:39:48",Course à pied en soirée,Course à pied,,3322,"9,77",,,false,,,activities/20647096317.fit.gz,,,3322.0,2966.0,9775.4,4.74,3.296,38.0,35.0,40.0,63.4,8.7,0.0,,,115.0,88.0,,,,331.0,690.0,,27.0,,967689.0,,,,,,,,337.0,3178.0,,,0.0,,1.0,9860.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.943,38.0,,,,8484.0,0.0,,565.0,253.0,3.324,,,,,,,,,,,,""
19508780622,"29 juil. 2026, 01:02:24",Course à pied de nuit,Course à pied,,2662,"8,16",,,false,,,activities/20631801159.fit.gz,,,2662.0,2525.0,8166.1,3.9,3.234,24.0,28.0,38.4,53.8,7.1,0.0,,,92.0,88.0,,,,322.0,550.0,,26.0,,813290.0,,,,,,,,312.0,2664.0,,,0.0,,1.0,8210.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.068,0.0,,,,7332.0,0.0,,407.0,235.0,3.252,,,,,,,,,,,,""
19493560972,"27 juil. 2026, 23:26:26",Course à pied en soirée,Course à pied,,7393,"20,28",,,false,,,activities/20616141054.fit.gz,,,7393.0,6904.0,20283.1,4.12,2.938,115.0,115.0,17.8,74.4,9.2,0.0,,,90.0,85.0,,,,296.0,1359.0,,28.0,,2047423.0,,,,,,,,288.0,7394.0,,,0.0,,1.0,20481.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.744,1780.6,,,,19502.0,0.0,,965.0,217.0,2.967,,,,,,,,,,,,""
19476212002,"26 juil. 2026, 16:21:48",Course à pied le midi,Course à pied,,3410,"9,59",,,false,,,activities/20598265719.fit.gz,,,3410.0,3311.0,9590.7,3.52,2.897,31.0,25.0,44.6,67.4,7.5,0.1,,,89.0,84.0,,,,292.0,691.0,,31.0,,965025.0,,,,,,,,289.0,3412.0,,,0.0,,1.0,9675.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2.813,1163.3,,,,9284.0,0.0,,446.0,217.0,2.922,,,,,,,,,,,,""
19439700642,"23 juil. 2026, 23:58:58",Evening Run,Course à pied,,4438,"13,95",,,false,,,activities/20560755324.fit.gz,,,4438.0,4289.0,13957.5,5.08,3.254,50.0,60.0,44.0,69.8,30.8,-0.1,,,93.0,82.0,,,,332.0,937.0,,27.0,,1391233.0,,,,,,,,372.0,4439.0,,,0.0,,1.0,14136.3,,,,,,,,,,,,,,,,,,,,,,,,,,,3.145,0.0,,,,11452.0,0.0,,965.0,280.0,3.296,,,,,,,,,,,,""
19411092865,"21 juil. 2026, 23:49:47",Course à pied en soirée,Course à pied,,2718,"8,33",,,false,,,activities/20531509716.fit.gz,,,2718.0,2608.0,8329.4,5.66,3.194,25.0,21.0,87.8,104.6,15.5,0.0,,,92.0,87.0,,,,327.0,559.0,,28.0,,853601.0,,,,,,,,323.0,2719.0,,,0.0,,1.0,8451.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.065,44.2,,,,7516.0,0.0,,445.0,243.0,3.241,,,,,,,,,,,,""
19396533111,"20 juil. 2026, 23:29:35",Course à pied en soirée,Course à pied,,5979,"15,77",,,false,,,activities/20516702070.fit.gz,,,5979.0,5485.0,15775.2,3.74,2.876,76.0,79.0,30.6,68.8,11.7,0.0,,,88.0,85.0,,,,292.0,1052.0,,28.0,,1600943.0,,,,,,,,282.0,5980.0,,,0.0,,1.0,15933.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.638,5355.6,,,,15424.0,0.0,,746.0,212.0,2.905,,,,,,,,,,,,""
19381635928,"19 juil. 2026, 16:29:53",Lunch Run,Course à pied,,5293,"13,20",,,false,,,activities/20501519129.fit.gz,,,5293.0,4525.0,13203.6,4.72,2.918,263.0,254.0,48.4,234.6,50.0,-0.1,,,98.0,84.0,,,,300.0,971.0,,27.0,,1351034.0,,,,,,,,295.0,5294.0,,,0.0,,1.0,14585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.495,5819.2,,,,12384.0,0.0,,724.0,222.0,3.223,,,,,,,,,,,,""
19356384740,"17 juil. 2026, 23:36:00",Course à pied en soirée,Course à pied,,3728,"11,50",,,false,,,activities/20475737716.fit.gz,,,3728.0,3676.0,11507.2,5.16,3.13,27.0,28.0,67.2,71.2,17.1,0.0,,,95.0,81.0,,,,303.0,807.0,,25.0,,1108168.0,,,,,,,,351.0,3729.0,,,0.0,,1.0,11608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.087,0.0,,,,9696.0,0.0,,721.0,264.0,3.158,,,,,,,,,,,,""
19317024280,"15 juil. 2026, 00:15:59",Course à pied en soirée,Course à pied,,2975,"7,81",,,false,,,activities/20435731773.fit.gz,,,2975.0,2846.0,7816.6,3.84,2.747,33.0,35.0,37.0,53.8,11.1,0.0,,,88.0,84.0,,,,280.0,541.0,,30.0,,796745.0,,,,,,,,274.0,2976.0,,,0.0,,1.0,7899.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.627,219.7,,,,7956.0,0.0,,350.0,206.0,2.776,,,,,,,,,,,,""
19302169134,"13 juil. 2026, 23:35:00",Course à pied en soirée,Course à pied,,3517,"10,09",,,false,,,activities/20420658769.fit.gz,,,3517.0,3353.0,10094.3,6.16,3.011,31.0,33.0,43.0,63.2,13.6,0.0,,,115.0,82.0,,,,295.0,700.0,,29.0,,978258.0,,,,,,,,310.0,3519.0,,,0.0,,1.0,10185.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,0.0,,,,8850.0,0.0,,530.0,233.0,3.038,,,,,,,,,,,,""
19286229553,"12 juil. 2026, 18:04:40",Afternoon Run,Course à pied,,2343,"7,06",,,false,,,activities/20404463717.fit.gz,,,2343.0,2217.0,7060.9,4.2,3.185,32.0,32.0,33.2,60.6,45.2,0.0,,,100.0,85.0,,,,322.0,487.0,,32.0,,712464.0,,,,,,,,312.0,2344.0,,,0.0,,1.0,7159.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.014,1032.4,,,,6212.0,0.0,,358.0,235.0,3.229,,,,,,,,,,,,""
19262242844,"10 juil. 2026, 23:08:02",Course à pied en soirée,Course à pied,,4120,"13,11",,,false,,,activities/20380039063.fit.gz,,,4120.0,4012.0,13111.6,5.54,3.268,17.0,23.0,68.0,75.4,11.1,0.0,,,94.0,84.0,,,,318.0,900.0,,28.0,,1268503.0,,,,,,,,359.0,4121.0,,,0.0,,1.0,13187.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.182,0.0,,,,10986.0,0.0,,834.0,270.0,3.287,,,,,,,,,,,,""
19236597901,"8 juil. 2026, 23:04:52",Course à pied en soirée,Course à pied,,7173,"17,71",,,false,,,activities/20353948233.fit.gz,,,7173.0,6326.0,17718.5,4.1,2.801,317.0,345.0,47.2,225.2,50.0,0.0,,,97.0,84.0,,,,302.0,1238.0,,29.0,,1906597.0,,,,,,,,296.0,7174.0,,,0.0,,1.0,18891.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,5610.5,,,,17614.0,0.0,,989.0,223.0,2.986,,,,,,,,,,,,""
