ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Avec enfant,Distance en descente,Nombre total de séries,Nombre total de répétitions,Support
19983641143,"31 août 2026, 23:23:03",4*4',Course à pied,Reprise trklou,3528,"10,95",173.0,42,false,,Salomon Aero Blaze 3,activities/21121878737.fit.gz,,,3528.0,3416.0,10949.7,5.32,3.205,37.8,38.1,43.2,66.4,9.2,0.0,,,93.0,82.0,173.0,148.0,,,772.0,,,42.0,,,,,,,,,,,,,0.0,,1.0,10995.6,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,3.104,69.0,,,,9064.0,0.0,,,,3.219,,,,,,,,,,,,""
19956182195,"29 août 2026, 11:00:46",🎯 backyard ultra racer cafe 12h,Course à pied,"12 boucles de 6,7 km, 3 finishers à la fin (j'ai fini dernier 😩)
Merci au racer café qui a orga un évènement de fou, que de belles rencontres et de bon temps passé à vos côtés 🫶
Une première expérience backyard de salopard, je savais pas que je la faisais il y a 2jours 😭😭 bref nutrition au taquet, jambes ok jusqu'à la 8e",41697,"81,02",174.0,543,false,"",Salomon Aero Blaze 3,activities/21093558510.fit.gz,,,41697.0,28219.0,81023.4,6.0,2.871,280.5,282.1,14.2,21.5,14.9,0.0,,,85.0,79.0,174.0,153.0,,0.0,5874.0,,,543.0,,,,,,,,,1.0,28272.0,0.0,,0.0,,1.0,81532.9,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,1.943,60179.2,,,,74392.0,0.0,,0.0,1.0,2.866,,,,,,,,,,,,media/aceaf888-7fd7-47c6-a7ed-68d3d2078a5f.jpg|media/496a4b4b-89c4-4819-abad-ad9c86d59a12.jpg
19991005102,"28 août 2026, 23:33:48",Shakeout pré backyard,Course à pied,3 petits 400 pour reset les jambes,1863,"4,95",159.0,12,false,"",Salomon Aero Blaze 3,activities/21129494082.fit.gz,,,1863.0,1451.0,4954.4,5.32,3.414,17.1,2.2,50.9,69.1,10.7,0.3,,,89.0,79.0,159.0,139.0,,,463.0,,,12.0,,,,,,,,,,,,,0.0,,1.0,5023.6,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,2.0,2.659,0.0,,,,,0.0,,,,3.462,,,,,,,,,,,,""
19908070425,"25 août 2026, 21:25:14",Aller séance plio,Course à pied,Pas de retour parce que plus de batterie 😔,580,"1,73",157.0,5,false,,Salomon Aero Blaze 3,activities/21044105974.fit.gz,,,580.0,580.0,1733.5,4.66,2.989,16.9,2.0,50.9,67.9,8.1,1.0,,,83.0,80.0,157.0,144.0,,,128.0,,,5.0,,,,,,,,,,,0.0,,0.0,,1.0,1790.1,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.989,0.0,,,,1556.0,0.0,,,,3.086,,,,,,,,,,,,""
19868320676,"23 août 2026, 15:42:18",Seuil fontaine,Course à pied,"",3350,"11,08",178.0,88,false,,Salomon Aero Blaze 3,activities/21003331299.fit.gz,,,3350.0,3234.0,11085.0,5.9,3.428,38.1,39.1,37.7,54.3,26.5,0.0,,,89.0,83.0,178.0,162.0,,,773.0,,,88.0,,,,,,,,,,,,,0.0,,1.0,11156.4,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,3.309,2177.4,,,,8884.0,0.0,,,,3.45,,,,,,,,,,,,""
19843470684,"21 août 2026, 22:45:14",Sub 19 enfin,Course à pied,Le prédicteur garmin est chokbar,3055,"9,08",201.0,60,false,,Salomon Aero Blaze 3,activities/20977747493.fit.gz,,,3055.0,2724.0,9081.1,5.72,3.334,15.5,2.5,51.4,69.1,10.0,0.2,,,97.0,83.0,201.0,160.0,,,628.0,,,60.0,,,,,,,,,,,0.0,,0.0,,1.0,9168.9,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.973,0.0,,,,7256.0,0.0,,,,3.366,,,,,,,,,,,,""
19830436608,"20 août 2026, 22:54:33",4*4',Course à pied,"",3350,"9,78",186.0,67,false,,Salomon Aero Blaze 3,activities/20964319377.fit.gz,,,3350.0,2795.0,9784.6,7.58,3.501,24.8,23.0,43.2,63.9,47.1,0.0,,,85.0,81.0,186.0,158.0,,,685.0,,,67.0,,,,,,,,,,,,,0.0,,1.0,9852.8,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,2.0,2.921,73.0,,,,7956.0,0.0,,,,3.525,,,,,,,,,,,,""
19801473215,"18 août 2026, 22:14:31",Footing à 4,Course à pied,"",3344,"9,06",162.0,32,false,,Salomon Aero Blaze 3,activities/20934616831.fit.gz,,,3344.0,3175.0,9059.6,5.16,2.853,41.4,44.6,28.4,63.9,23.4,0.0,,,93.0,79.0,162.0,145.0,,,656.0,,,32.0,,,,,,,,,,,,,0.0,,1.0,9131.8,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.709,275.5,,,,8230.0,0.0,,,,2.876,,,,,,,,,,,,""
19831462569,"17 août 2026, 22:31:23",Evening run,Course à pied,"",7543,"18,55",,,false,,Salomon Aero Blaze 3,activities/19831462569.fit,,,7543.0,6101.0,18553.1,5.32,3.041,230.0,300.0,38.8,204.4,28.0,-0.1,,,,,,,,,1781.0,,29.0,,,,,,,,,,,,0.0,,0.0,,1.0,19326.0,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.46,5846.3,,,,,0.0,,,,3.168,,,,,,,,,,,,""
19772858077,"16 août 2026, 21:45:58",Footing,Course à pied,Retour au plat avec jules et manu,3114,"8,62",165.0,33,false,,Salomon Aero Blaze 3,activities/20905264912.fit.gz,,,3114.0,3002.0,8624.3,7.94,2.873,36.3,36.4,27.0,54.7,19.1,0.0,,,89.0,81.0,165.0,146.0,,,635.0,,,33.0,,,,,,,,,,,0.0,,0.0,,1.0,8702.7,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.77,62.3,,,,7932.0,0.0,,,,2.899,,,,,,,,,,,,""
